"x"
"-18.60505 20.86503333"
"-18.60851667 20.88155"
"-18.72391667 20.86101667"
"-18.7578 20.81611667"
"-18.7221 20.8618"
"-18.72505 20.86363333"
"-18.72396667 20.86068333"
"-18.76036667 20.81518333"
"-18.7215 20.86095"
"-18.72146667 20.86083333"
"-18.72251667 20.86655"
"-18.60451667 20.8527"
"-18.59536667 20.84371667"
"-18.47881667 20.84295"
"-18.48043333 20.83431667"
"-18.4774 20.83741667"
"-18.48073333 20.83401667"
"-18.48018333 20.83953333"
"-18.55921667 20.83368333"
"-18.5748 20.83616667"
"-18.5839 20.83706667"
"-18.59181667 20.84193333"
"-18.5974 20.85256667"
"-18.59643333 20.84281667"
"-18.58995 20.8387999999999"
"-18.59596667 20.84311667"
"-18.78516667 20.7426"
"-18.78421667 20.74201667"
"-18.78483333 20.74506667"
"-18.78506667 20.74251667"
"-18.78478333 20.74531667"
"-18.7821 20.74671667"
"-18.72805 20.79673333"
"-18.76125 20.81113333"
"-18.76 20.81111667"
"-18.75998333 20.81075"
"-18.76086667 20.8103"
"-18.7618 20.81796667"
"-18.76086667 20.81756667"
"-18.7622 20.81711667"
"-18.7659 20.81745"
"-18.76288333 20.8171"
"-18.75966667 20.81226667"
"-18.7613 20.81236667"
"-18.75835 20.80848333"
"-18.76115 20.81058333"
"-18.76211667 20.81281667"
"-18.763 20.81433333"
"-18.76236667 20.81775"
"-18.76348333 20.8179"
"-18.76433333 20.81771667"
"-18.76191667 20.81258333"
"-18.76026667 20.811"
"-18.75878333 20.8107"
"-18.72818333 20.80075"
"-18.7618 20.8126"
"-18.76148333 20.80851667"
"-18.76173333 20.81255"
"-18.76195 20.81666667"
"-18.76186667 20.81815"
"-18.76073333 20.81325"
"-18.76006667 20.8117"
"-18.76216667 20.81105"
"-18.76156667 20.8126"
"-18.76263333 20.81163333"
"-18.76546667 20.80943333"
"-18.7616 20.81141667"
"-18.76165 20.81271667"
"-18.76353333 20.8215"
"-18.76028333 20.8186"
"-18.7615 20.81131667"
"-18.76108333 20.80861667"
"-18.7645 20.80973333"
"-18.76423333 20.81795"
"-18.76278333 20.8144"
"-18.76236667 20.81583333"
"-18.76211667 20.81773333"
"-18.72251667 20.8618"
"-18.72086667 20.86051667"
"-18.72021667 20.86351667"
"-18.72203333 20.86103333"
"-18.71621667 20.86061667"
"-18.71535 20.85988333"
"-18.76203333 20.81685"
"-18.76223333 20.81495"
"-18.76278333 20.8163"
"-18.76466667 20.8184"
"-18.72391667 20.85985"
"-18.72213333 20.86106667"
"-18.72415 20.86448333"
"-18.72316667 20.86648333"
"-18.72293333 20.8669"
"-18.72458333 20.87146667"
"-18.7226 20.86543333"
"-18.7195 20.85755"
"-18.7197 20.86243333"
"-18.6027 20.85146667"
"-18.59378333 20.84391667"
"-18.58678333 20.84481667"
"-18.5854 20.84503333"
"-18.5899 20.84375"
"-18.58643333 20.84476667"
"-18.58656667 20.84428333"
"-18.5865 20.84301667"
"-18.58675 20.8418"
"-18.58883333 20.84026667"
"-18.58945 20.83901667"
"-18.58898333 20.84283333"
"-18.5818 20.84125"
"-18.58168333 20.83951667"
"-18.58108333 20.83911667"
"-18.57731667 20.83786667"
"-18.57731667 20.83768333"
"-18.5771 20.83806667"
"-18.57705 20.83725"
"-18.57581667 20.83478333"
"-18.57586667 20.83441667"
"-18.57575 20.83435"
"-18.57721667 20.8337"
"-18.57963333 20.83365"
"-18.58453333 20.83531667"
"-18.58625 20.83451667"
"-18.5898 20.83628333"
"-18.5912 20.83643333"
"-18.5955 20.84315"
"-18.58973333 20.8445"
"-18.5856 20.84581667"
"-18.58246667 20.84571667"
"-18.58298333 20.84181667"
"-18.59265 20.84325"
"-18.59363333 20.84235"
"-18.58835 20.83711667"
"-18.58175 20.83485"
"-18.57773333 20.83296667"
"-18.57175 20.83443333"
"-18.57451667 20.8358"
"-18.57876667 20.8361"
"-18.59036667 20.83951667"
"-18.58966667 20.8497"
"-18.57856667 20.86711667"
"-18.59635 20.84271667"
"-18.5973 20.8488"
"-18.59736667 20.8536"
"-18.59751667 20.8537"
"-18.59968333 20.858"
"-18.6012 20.86145"
"-18.60171667 20.86636667"
"-18.6015 20.87101667"
"-18.59711667 20.85705"
"-18.5964 20.84278333"
"-18.59855 20.844"
"-18.71765 20.86313333"
"-18.6032 20.86923333"
