"X","Y","DateTime","ID","dry_recurse$revisits","revisits"
1118754.24689248,-2099833.30373539,2014-07-16 21:25:00,"MET.K10",47,47
1118738.71465399,-2100034.85932425,2014-07-16 22:24:00,"MET.K10",26,26
1118795.14190262,-2099982.97458963,2014-07-16 23:24:00,"MET.K10",40,40
1119065.54871672,-2099598.95534959,2014-07-17 00:25:00,"MET.K10",52,52
1109233.54066846,-2105428.08204661,2014-07-19 12:25:00,"MET.K10",26,26
1102237.68599239,-2105746.20347124,2014-07-19 17:25:00,"MET.K10",47,47
1102433.98243869,-2105457.89632927,2014-07-21 12:54:00,"MET.K10",46,46
1102325.67151303,-2105643.42057516,2014-07-23 14:55:00,"MET.K10",46,46
1102307.42082462,-2105553.86523816,2014-07-24 17:05:00,"MET.K10",44,44
1102275.35774398,-2105780.78862423,2014-07-25 22:04:00,"MET.K10",47,47
1101775.91522638,-2105738.61569559,2014-07-25 23:05:00,"MET.K10",29,29
1102302.06874097,-2105338.69987006,2014-07-26 12:05:00,"MET.K10",43,43
1101885.82899729,-2105829.29325983,2014-07-26 13:05:00,"MET.K10",44,44
1108848.92895288,-2105324.61939459,2014-07-27 12:03:00,"MET.K10",31,31
1108547.23899961,-2105327.68644441,2014-07-28 12:22:00,"MET.K10",28,28
1102270.05615151,-2105726.86873686,2014-08-01 20:33:00,"MET.K10",47,47
1102225.23432563,-2105749.50518245,2014-08-04 18:12:00,"MET.K10",47,47
1108745.59222043,-2105302.68923288,2014-08-06 09:12:00,"MET.K10",30,30
1102556.07754721,-2105662.03113071,2014-08-06 18:12:00,"MET.K10",48,48
1102154.95278085,-2105741.66111458,2014-08-09 00:46:00,"MET.K10",46,46
1118622.3863478,-2100030.98744414,2014-08-10 15:46:00,"MET.K10",21,21
1118774.78134022,-2099852.52634107,2014-08-10 16:48:00,"MET.K10",47,47
1102065.43148131,-2116658.90459258,2014-08-13 20:01:00,"MET.K10",33,33
1102183.61065935,-2116494.10697314,2014-08-13 21:01:00,"MET.K10",36,36
1102022.69505561,-2116672.33631497,2014-08-15 04:03:00,"MET.K10",33,33
1119059.27432774,-2099628.40892241,2014-08-18 17:08:00,"MET.K10",52,52
1118782.80994978,-2100989.21890828,2014-08-18 18:07:00,"MET.K10",24,24
1117316.73908286,-2066182.0250561,2013-06-02 01:15:00,"MET.K2",119,119
1118734.11499321,-2080129.96802151,2013-06-06 13:19:00,"MET.K2",75,75
1117279.49142473,-2066240.12966119,2013-06-09 09:19:00,"MET.K2",117,117
1118760.75885063,-2080179.04480597,2013-06-11 13:41:00,"MET.K2",76,76
1118639.25237,-2067252.22663553,2013-06-16 13:41:00,"MET.K2",21,21
1117302.97636706,-2066170.45349582,2013-06-18 17:41:00,"MET.K2",120,120
1117309.85825667,-2066176.23929138,2013-06-18 21:41:00,"MET.K2",119,119
1119339.56932893,-2080570.7469419,2013-06-21 13:41:00,"MET.K2",28,28
1118573.77168052,-2080386.07332396,2013-06-23 09:41:00,"MET.K2",71,71
1118789.60033784,-2080161.45659659,2013-06-23 13:41:00,"MET.K2",76,76
1119321.32784882,-2079999.16399227,2013-06-23 17:41:00,"MET.K2",33,33
1118732.83833104,-2080115.09467781,2013-06-23 21:41:00,"MET.K2",75,75
1118730.58541504,-2080129.85172957,2013-06-24 09:41:00,"MET.K2",75,75
1119636.84654511,-2080126.36371849,2013-06-24 13:41:00,"MET.K2",25,25
1118735.69568333,-2080135.58155446,2013-06-26 17:41:00,"MET.K2",75,75
1118840.25395668,-2080446.76042328,2013-06-27 13:41:00,"MET.K2",72,72
1119067.98992671,-2099578.64429573,2013-06-29 21:41:00,"MET.K2",52,52
1119075.00818097,-2099261.86407556,2013-06-30 09:41:00,"MET.K2",46,46
1118742.87583236,-2080132.1097512,2013-07-02 17:41:00,"MET.K2",76,76
1119469.99060583,-2080740.04123727,2013-07-05 01:41:00,"MET.K2",23,23
1117299.88075921,-2066211.13497693,2013-07-07 13:41:00,"MET.K2",119,119
