"","unique","revisits2013w","revisits2014w","revisits2015w","revisits2013d","revisits2014d","revisits2015d","X","Y","diff2013","diff2014","diff2015"
"140","748",0,0,0,0,0,0,1126482.2800718,-2065973.80738178,0,0,0
"141","749",0,0,0,0,0,0,1108813.81324319,-2065448.43669317,0,0,0
"142","753",0,0,0,0,0,0,1099216.11309533,-2065274.36078416,0,0,0
"143","757",0,51,28,7,68,53,1120898.43062502,-2067048.47497157,-7,-17,-25
"144","761",0,0,0,0,0,0,1096197.29280834,-2065694.27650395,0,0,0
"145","763",0,0,0,0,0,0,1133129.49384206,-2066967.37689397,0,0,0
"146","764",0,0,0,0,0,0,1131127.60643676,-2067226.40362272,0,0,0
"147","765",0,2,11,2,7,2,1123738.90887656,-2066985.01242609,-2,-5,9
"148","766",0,0,0,0,0,0,1128513.18361116,-2067077.54498071,0,0,0
"149","767",0,0,0,0,0,0,1104348.39085019,-2066231.89115773,0,0,0
"150","770",0,0,2,0,0,0,1125586.21548486,-2067113.42461296,0,0,2
"151","774",0,1,0,0,0,0,1105589.14478417,-2066621.83356709,0,1,0
"152","776",0,2,1,0,3,0,1118650.15036653,-2067141.74838766,0,-1,1
"153","777",0,2,0,0,2,12,1112721.49895107,-2067255.94192666,0,0,-12
"154","779",0,0,0,0,0,0,1099615.6245758,-2066479.61382573,0,0,0
"155","781",0,2,0,0,0,0,1100510.73397276,-2066888.02922428,0,2,0
"156","783",0,0,0,0,0,2,1115005.82317666,-2067253.88611006,0,0,-2
"157","785",0,0,2,0,1,0,1127536.46319154,-2067772.69841848,0,-1,2
"158","786",0,0,0,0,0,0,1128597.72107026,-2067746.85039629,0,0,0
"159","788",0,0,0,0,0,0,1103066.20430227,-2067201.62964204,0,0,0
"160","791",0,0,0,0,0,1,1116100.74597981,-2067611.969841,0,0,-1
"161","792",0,0,2,2,2,2,1121267.63076144,-2067754.23169537,-2,-2,0
"162","800",0,0,0,0,0,0,1095016.15148477,-2067364.8794175,0,0,0
"163","801",0,0,0,0,0,0,1115072.04602997,-2068157.04363491,0,0,0
"164","803",0,0,0,0,0,0,1106116.51825623,-2067796.61195382,0,0,0
"165","805",0,0,3,1,2,0,1129905.78093467,-2068975.46405418,-1,-2,3
"166","808",0,0,1,0,1,1,1121991.43164538,-2068590.74371016,0,-1,0
"167","810",0,2,0,0,0,0,1104987.43699068,-2068313.59559272,0,2,0
"168","811",0,3,4,0,1,0,1126577.42453688,-2068771.70142466,0,2,4
"169","813",0,3,3,2,1,7,1123441.68004753,-2069029.68742291,-2,2,-4
"170","814",0,6,3,1,4,8,1117597.52339344,-2068842.29056927,-1,2,-5
"171","815",0,0,0,0,0,0,1103761.2543697,-2068029.76110851,0,0,0
"172","816",0,0,0,0,0,0,1104212.70991548,-2068121.6834679,0,0,0
"173","817",0,0,0,0,0,0,1108639.94161764,-2068296.70736488,0,0,0
"174","818",0,0,1,0,0,0,1121580.96468374,-2068724.01044724,0,0,1
"175","819",0,0,0,0,0,0,1113292.68325177,-2068447.00736154,0,0,0
"176","820",0,0,0,0,0,0,1107901.66813887,-2068251.23922728,0,0,0
"177","823",0,0,1,0,0,0,1107706.85998338,-2068651.27044221,0,0,1
"178","824",0,0,0,0,0,0,1099239.60870367,-2068111.85169915,0,0,0
"179","827",0,0,0,0,0,0,1097182.09619591,-2068573.70331692,0,0,0
"180","828",0,0,0,0,0,0,1128331.63915036,-2069279.04311839,0,0,0
"181","832",0,3,2,0,2,15,1111334.08422259,-2069757.62440465,0,1,-13
"182","833",0,0,0,0,0,0,1103135.12679537,-2068535.19959704,0,0,0
"183","835",0,0,2,0,0,0,1095115.87806149,-2068509.4910894,0,0,2
"184","839",0,1,1,1,0,0,1129161.40857336,-2069553.15710539,-1,1,1
"185","840",0,0,0,0,0,1,1122562.30574661,-2069336.35253453,0,0,-1
"186","841",0,0,1,0,1,0,1130661.82259293,-2069612.91379202,0,-1,1
"187","842",0,0,0,0,0,0,1105533.32266457,-2068769.07027551,0,0,0
"188","843",0,2,0,0,0,1,1100851.79651865,-2068887.26926471,0,2,-1
"189","844",0,1,0,0,1,2,1117303.33828825,-2069396.74167295,0,0,-2
"190","846",0,0,0,0,0,0,1103373.59792494,-2068981.12170041,0,0,0
"191","848",0,0,0,0,1,1,1109173.59928758,-2069549.92582087,0,-1,-1
"192","852",0,2,2,0,0,2,1112969.14997915,-2069739.73696509,0,2,0
"193","856",0,0,0,0,0,0,1125440.7969966,-2070151.31105697,0,0,0
"194","858",0,0,0,0,0,0,1120204.81221058,-2070159.88996369,0,0,0
"195","860",0,0,0,0,0,0,1092201.99415434,-2069259.90079194,0,0,0
"196","861",0,2,1,0,2,2,1115681.33146194,-2070270.89469472,0,0,-1
"197","862",0,0,1,0,0,0,1127284.61063772,-2070448.90771738,0,0,1
"198","863",0,0,0,0,0,0,1127725.35524799,-2070489.8135805,0,0,0
"199","864",0,0,0,0,0,0,1127566.04146777,-2070485.06647166,0,0,0
"200","865",0,0,0,0,0,0,1128435.18495441,-2070733.99039177,0,0,0
"201","866",0,0,0,0,0,0,1092570.17222717,-2069560.17320298,0,0,0
"202","867",0,1,2,0,0,0,1127454.91269953,-2070883.84147927,0,1,2
"203","869",0,0,0,0,0,0,1133106.62920736,-2071161.86847175,0,0,0
"204","870",0,0,1,0,0,0,1118581.5824041,-2070644.15176041,0,0,1
"205","871",0,0,0,0,0,0,1093219.35976755,-2069791.5655376,0,0,0
"206","873",0,1,0,0,0,2,1119401.48940587,-2070839.69151564,0,1,-2
"207","874",0,0,0,0,0,0,1094255.23028366,-2069937.2408139,0,0,0
"208","875",0,0,0,2,2,2,1117131.50673581,-2070865.97314074,-2,-2,-2
"209","876",0,0,0,0,0,0,1108386.14420729,-2070628.24154804,0,0,0
"210","877",0,0,2,0,0,0,1127934.69233877,-2071130.07088348,0,0,2
"211","879",0,2,2,0,0,1,1109517.57924951,-2070869.39750845,0,2,1
"212","881",0,3,2,0,0,3,1121287.70907938,-2071228.41222192,0,3,-1
"213","882",0,6,10,0,3,8,1112157.52660209,-2071274.02332521,0,3,2
"214","883",0,3,6,1,8,21,1117012.6561906,-2071538.10683171,-1,-5,-15
"215","884",0,0,0,0,1,0,1092557.09150416,-2070267.48922158,0,-1,0
"216","889",0,0,1,0,0,0,1093041.22994527,-2070609.76041785,0,0,1
"217","891",0,1,7,0,3,14,1125155.75681027,-2071979.72556878,0,-2,-7
"218","893",0,0,0,0,1,0,1090216.38359723,-2070930.3940367,0,-1,0
"219","894",0,1,0,0,0,0,1103966.83141994,-2071537.95441274,0,1,0
"220","901",0,0,0,0,0,0,1092298.91061398,-2071189.09946883,0,0,0
"221","902",0,0,0,0,1,0,1120413.58818932,-2072156.40150506,0,-1,0
"222","906",0,0,0,0,0,1,1099726.70469823,-2071600.01282891,0,0,-1
"223","907",0,1,5,1,1,1,1127472.82266282,-2072513.23347521,-1,0,4
"224","909",0,1,1,0,0,0,1105738.65576552,-2072074.52560142,0,1,1
"225","910",0,3,4,0,1,2,1119157.07478402,-2072521.19022186,0,2,2
"226","911",0,0,0,0,0,1,1100886.28051513,-2071810.32947592,0,0,-1
"227","913",0,0,0,0,0,0,1109456.04696227,-2072138.49638922,0,0,0
"228","915",0,0,4,0,2,0,1121559.41786703,-2072900.51567493,0,-2,4
"229","916",0,0,0,0,0,0,1094959.05415477,-2071886.98217683,0,0,0
"230","919",0,1,0,0,1,0,1123076.87912649,-2072858.94510195,0,0,0
"231","920",0,2,13,2,3,10,1128299.89416994,-2073656.59690331,-2,-1,3
"232","921",0,1,1,0,3,3,1116824.97519423,-2072773.75044315,0,-2,-2
"233","923",0,0,0,0,0,0,1131427.76012603,-2073250.37814694,0,0,0
"234","924",0,1,1,0,1,8,1123856.26187833,-2073366.18228803,0,0,-7
"235","927",0,0,0,0,0,3,1122138.84397779,-2073483.19701647,0,0,-3
"236","928",1,2,4,0,6,9,1120751.30336961,-2074021.21663544,1,-4,-5
"237","930",0,0,0,0,0,0,1124030.64186873,-2073861.33563931,0,0,0
