"X","Y","DateTime","ID","wet_recurse$revisits","revisits"
1102078.9644071,-2105746.60587789,2015-01-20 23:25:00,"MET.K1",45,45
1101759.6343378,-2108475.13683127,2015-01-21 00:25:00,"MET.K1",29,29
1101760.57355368,-2108446.25481233,2015-01-21 01:25:00,"MET.K1",29,29
1103066.94998423,-2097084.85185847,2015-01-25 13:25:00,"MET.K1",21,21
1103051.16022553,-2097082.11622251,2015-01-25 14:26:00,"MET.K1",21,21
1102049.42857879,-2116652.45124497,2015-01-27 22:49:00,"MET.K1",34,34
1102066.87779814,-2116668.58990548,2015-01-27 23:49:00,"MET.K1",34,34
1102053.32719774,-2116662.58698259,2015-01-28 05:49:00,"MET.K1",34,34
1101777.07291039,-2116573.49697173,2015-01-29 19:49:00,"MET.K1",31,31
1101735.24743238,-2117044.74614581,2015-01-29 20:49:00,"MET.K1",23,23
1102054.20204587,-2116668.17576864,2015-01-30 11:49:00,"MET.K1",34,34
1101701.18615714,-2116468.71194011,2015-01-30 16:49:00,"MET.K1",32,32
1123288.70963164,-2101638.57303496,2013-11-03 02:25:00,"MET.K10",21,21
1123303.12022146,-2101629.78577678,2013-11-03 03:26:00,"MET.K10",21,21
1123256.09141034,-2101611.5214245,2013-11-03 04:26:00,"MET.K10",21,21
1123132.03106186,-2101627.75382585,2013-11-03 05:26:00,"MET.K10",21,21
1122595.79359358,-2101622.74839072,2013-11-03 06:26:00,"MET.K10",22,22
1119055.95966915,-2099568.97357443,2013-11-03 09:25:00,"MET.K10",40,40
1119071.88474557,-2099567.65068504,2013-11-03 10:27:00,"MET.K10",41,41
1119065.98035366,-2099585.99217218,2013-11-03 11:26:00,"MET.K10",41,41
1119036.20143384,-2099579.4390005,2013-11-03 12:26:00,"MET.K10",40,40
1118960.19930739,-2099636.23352162,2013-11-03 13:26:00,"MET.K10",36,36
1119014.3719687,-2099599.10562695,2013-11-03 14:26:00,"MET.K10",39,39
1118727.6845944,-2099571.02363678,2013-11-03 15:26:00,"MET.K10",36,36
1102238.7417453,-2105822.22585066,2013-11-03 23:25:00,"MET.K10",46,46
1101730.12602629,-2108504.20183558,2013-11-04 00:26:00,"MET.K10",29,29
1102003.63213277,-2116662.44580684,2013-11-04 06:25:00,"MET.K10",34,34
1102011.95048475,-2116677.54549721,2013-11-04 07:26:00,"MET.K10",34,34
1102017.23204194,-2116677.71804175,2013-11-04 08:25:00,"MET.K10",34,34
1102021.90876664,-2116696.40409004,2013-11-04 09:26:00,"MET.K10",34,34
1101847.39639628,-2116859.36294266,2013-11-04 14:26:00,"MET.K10",31,31
1088802.54849115,-2120699.82067658,2013-11-04 19:26:00,"MET.K10",35,35
1088804.76362175,-2120740.65819782,2013-11-04 20:26:00,"MET.K10",35,35
1088794.72021802,-2120779.24978921,2013-11-04 21:26:00,"MET.K10",35,35
1088778.82287562,-2120780.59410106,2013-11-04 22:26:00,"MET.K10",35,35
1088772.49468891,-2120758.15535324,2013-11-04 23:26:00,"MET.K10",34,34
1088732.31636072,-2120747.60306275,2013-11-05 00:25:00,"MET.K10",34,34
1088793.96777723,-2120747.72489965,2013-11-05 01:26:00,"MET.K10",35,35
1088785.58413411,-2120734.48500342,2013-11-05 02:26:00,"MET.K10",35,35
1088801.89642971,-2120720.18364542,2013-11-05 03:26:00,"MET.K10",35,35
1088798.31689373,-2120721.92129013,2013-11-05 04:26:00,"MET.K10",35,35
1088793.84923607,-2120751.42675244,2013-11-05 05:27:00,"MET.K10",35,35
1088754.10375823,-2120672.32770877,2013-11-05 06:26:00,"MET.K10",34,34
1088890.43022365,-2120320.91493323,2013-11-05 07:26:00,"MET.K10",33,33
1088785.40630823,-2120740.03833732,2013-11-05 08:26:00,"MET.K10",35,35
